type|plz|city|street|name|tel|fax|email|gebiete|website|href
kanzlei|27283|Verden|Nikolaiwall 2|Rechtsanwalt Torben Müller Fachanwalt für Strafrecht -  Fachanwalt für Miet- und Wohnungseigentumsrecht|04231 - 30 04-0|04231 - 30 04-50|mail@struif-partner.de|Strafrecht, Mietrecht, Wohnungseigentumsrecht|http://www.struif-partner.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/torben_mueller_verden__aller_
kanzlei|06420|Könnern|Marktstr. 2|Kanzlei Schirn & Krey|034691 - 2 86 66|034691 - 2 86 68|sekretariat@rechtsanwaelte-schirn-krey.de|Familienrecht, Erbrecht, Strafrecht, Verkehrsrecht, Verkehrsunfallrecht, Verkehrsstrafrecht, OWI-Recht|https://www.anwalt-slk-schirn-krey.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/schirn___krey_koennern
kanzlei|29525|Uelzen|Veersserstr. 39 (1. Stockwerk)|Rechtsanwalt Notar Hans-Jürgen Bertram|0581 - 60 73|0581 - 1 69 70|kanzlei@bertramuelzen.de||http://www.bertramuelzen.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/hans-juergen_bertram_uelzen
kanzlei|47798|Krefeld|Stadtgarten 3|Rechtsanwalt Dr. Hubertus Plattenteich|02151 - 77 10 44|02151 - 77 92 48|mp@ra-plattenteich.de||http://www.ra-plattenteich.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/dr__hubertus_plattenteich_krefeld
kanzlei|44135|Dortmund|Kaiserstr. 17a|Rechtsanwalt Notar Christian Brockmann Fachanwalt für Versicherungsrecht|0231 - 5 59 00-0|0231 - 52 99 31|info@budin.de|Bankrecht, Gewerblicher Rechtsschutz, Immobilienrecht, Insolvenzrecht, Internetrecht, Versicherungsrecht, Vertragsrecht, Wirtschaftsrecht|http://www.budin.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/christian_brockmann_dortmund
kanzlei|52080|Aachen|Von-Coels-Straße 214|Rechtsanwältin Verena Ziemes|0241 - 4 75 71 40|0241 - 47 57 14 69|info@se-legal.de|Baurecht (privates), Architektenrecht, AGB-Recht, Vertragsrecht|http://www.se-legal.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/verena_ziemes_aachen
kanzlei|42853|Remscheid|Elberfelder Straße 78|Rechtsanwalt Peter Frowein|02191 - 2 99 96|02191 - 2 68 22|info@rae-remscheid.de||http://www.frowein-büssem.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/peter_frowein_remscheid
kanzlei|49593|Bersenbrück|Bahnhofstr. 6|Rechtsanwalt Ansgar Saft Fachanwalt für Arbeitsrecht|05439 - 9 49 00|05439 - 20 19|info@telscher.info|Arbeitsrecht, Sozialrecht, Sozialrecht - Hartz IV, Sozialversicherungsrecht, Sozialhilferecht|http://www.telscher.info|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/ansgar_saft_bersenbrueck
kanzlei|48231|Warendorf|Waldenburger Straße 10|Rechtsanwalt Ralph Perlewitz Fachanwalt für Steuerrecht|02581 - 9 39 20|02581 - 93 92 91|post@lentfort.de||http://www.lentfort.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/ralph_perlewitz_warendorf
kanzlei|22041|Hamburg|Schloßstr. 6|Rechtsanwalt Dirk Breitenbach Fachanwalt für Arbeitsrecht|040 - 68 11 00|040 - 68 72 13|office@rae-wandsbek.de|Arbeitsrecht, Verkehrsrecht, Baurecht (privates), Vertragsrecht|http://www.rae-wandsbek.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/dirk_breitenbach_hamburg
kanzlei|53840|Troisdorf|Römerstr. 32|Rechtsanwalt Max Ziemer Fachanwalt für Strafrecht -  Fachanwalt für Miet- und Wohnungseigentumsrecht|02241 - 7 50 01|02241 - 7 96 90|info@bzwh.de|Strafrecht, Mietrecht, Wohnungseigentumsrecht|http://www.bzwh.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/max_ziemer_troisdorf
kanzlei|67454|Haßloch|Dresdner Straße 2|Rechtsanwältin Judith Elisabeth Wisser|06324 - 98 07 97|06324 - 98 08 16|info@ra-hauck.de|Zivilrecht, Arbeitsrecht, OWI-Recht, Mietrecht, Reiserecht, Nachbarrecht, Sozialrecht, Strafrecht, Verkehrsrecht, Wohnungseigentumsrecht|http://ra-hauck.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/judith_elisabeth_wisser_hassloch
kanzlei|58636|Iserlohn|Nohlstr. 18|Rechtsanwalt Hermann-Josef Müller|02371 - 1 35 35, 02371 - 1 35 35|02371 - 1 44 42|RAe-mueller@t-online.de|||https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/hermann-josef_mueller_iserlohn
kanzlei|41061|Mönchengladbach|Hohenzollernstr. 124-126|Rechtsanwalt Jürgen Frenz|02161 - 92 79 70|02161 - 18 30 85|kanzlei@rae-wittmann.de||http://www.rae-wittmann.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/juergen_frenz_moenchengladbach
kanzlei|66113|Saarbrücken|Europaallee 5|Kanzlei Dornbach|0681 - 89 19 70|0681 - 8 91 97 17|anwaelte-sb@dornbach.de|Arbeitsrecht, Gesellschaftsrecht, Steuerrecht, Steuerstrafrecht, Vergaberecht, Wirtschaftsrecht|http://www.dornbach.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/dornbach_saarbruecken
kanzlei|44787|Bochum|Massenbergstr. 11|Rechtsanwalt Heinrich Storek (in Bürogemeinschaft) Fachanwalt für Steuerrecht|0234 - 9 64 84 40|0234 - 6 40 77 40|kanzlei@theo-schmidt.de|Steuerrecht|http://www.theo-schmidt.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/heinrich_storek_bochum
kanzlei|33378|Rheda-Wiedenbrück|Rietberger Straße 2|Rechtsanwalt Hermann-Josef Pierenkemper|05242 - 9 20 40, 05242 - 9 20 40|05242 - 92 04 48|rechtsanwaelte@pgwc.de||http://www.pgwc.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/hermann-josef_pierenkemper_rheda-wiedenbrueck
kanzlei|41812|Erkelenz|Kölner Straße 47|Rechtsanwalt Franz-Josef Krücken|02431 - 20 18, 02431 - 20 18|02431 - 64 07|kanzlei@krueckenundschmitz.de|Arbeitsrecht, Nachbarrecht, Sozialrecht, Strafrecht, Verkehrsrecht|http://www.krueckenundschmitz.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/franz-josef_kruecken_erkelenz
kanzlei|46485|Wesel|Schepersweg 1|Rechtsanwältin Nikola Bourdoux-Klofat|0281 - 3 38 33-0, 0281 - 3 38 33-0|0281 - 3 38 33-33|info@rae-luehl.de|Familienrecht, Mediation|http://www.rae-luehl.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/nikola_bourdoux-klofat_wesel
kanzlei|45468|Mülheim|Friedrichstr. 12|Rechtsanwalt Notar Dr. jur. Gregor Tapp|0208 - 29 97 70|0208 - 2 99 77 11|info@tp-rae.de|Gesellschaftsrecht, Handelsrecht, Verkehrsrecht, Vertragsrecht|http://www.tp-rae.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/dr__jur__gregor_tapp_muelheim_an_der_ruhr
kanzlei|59494|Soest|Walburgerstrasse 3|Kanzlei BKD Boin Küseling Diehl|02921 - 3 50 96-0, 02921 - 3 50 96-0|02921 - 3 50 96-96|soest@bkd-anwaelte.de|Arbeitsrecht, Architektenrecht, Arzthaftungsrecht, Baurecht (privates), Familienrecht, Gesellschaftsrecht, Handelsrecht, Medienrecht, Medizinrecht, Sozialrecht, Steuerrecht, Wettbewerbsrecht|http://www.bkd-anwaelte.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/bkd_boin_kueseling_diehl_soest
kanzlei|24941|Flensburg|Lise-Meitner-Straße 12|Rechtsanwältin Simone Röser|0461 - 31 83 17-0|0461 - 31 83 17-10|info@schlueter-rechtsanwaelte.de|Familienrecht, Mietrecht, Baurecht (privates), Verkehrsrecht, Verkehrsunfallrecht, Verkehrsstrafrecht, Zivilrecht|http://www.schlueter-rechtsanwaelte.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/simone_roeser_flensburg_2
kanzlei|47169|Duisburg|Weseler Straße 66|Kanzlei Enzweiler & Koch|0203 - 54 44 50|0203 - 5 44 45 44|koch@rae-enzweiler.de|Arbeitsrecht, Arzthaftungsrecht, Erbrecht, Familienrecht, Gesellschaftsrecht, Immobilienrecht, Medizinrecht, Mietrecht, OWI-Recht, Steuerstrafrecht, Verkehrsrecht, Verkehrsstrafrecht, Verkehrsunfallrecht|http://www.rae-enzweiler.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/enzweiler___koch_duisburg
kanzlei|45721|Haltern|Bahnhofstr. 8|Rechtsanwalt Notar Hartwig Trillsch Fachanwalt für Arbeitsrecht|02364 - 5 04 96-0|02364 - 5 04 96-10|kanzlei@drstenner-trillsch.de|Arbeitsrecht, Mietrecht, Pachtrecht, Forderungseinzug/Inkasso, Verkehrsrecht, Baurecht (privates), Strafrecht|http://www.drstenner-trillsch.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/hartwig_trillsch_haltern_am_see
kanzlei|52525|Heinsberg|Ostpromenade 72|Kanzlei Rechtsanwalt Johannes WinkelhorstKanzlei für Arbeitsrecht HeinsbergRechtsanwalt Winkelhorst|02452 - 96 49 32|02452 - 15 94 87|info@winkelhorst.net|Arbeitsrecht, Erbrecht, Familienrecht, Gewerblicher Rechtsschutz, Sozialrecht, Strafrecht, Verwaltungsrecht|http://www.winkelhorst.net|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt_johannes_winkelhorst_heinsberg
kanzlei|59075|Hamm|Im Sundern 78|Rechtsanwältin Anne-Kathrin Heckl Fachanwältin für Familienrecht|02381 - 3 78 77 70|02381 - 3 78 77 77|info@uebbert-brinkmann.de|Familienrecht, Arzthaftungsrecht, Erbrecht, Mietrecht, Wohnungseigentumsrecht|http://www.uebbert-brinkmann.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/anne-kathrin_heckl_hamm
kanzlei|56068|Koblenz|Mainzer Straße 108|Rechtsanwältin Brigitte Resch Fachanwältin für Familienrecht|0261 - 3 01 30|0261 - 30 13 23|kanzlei@kunzrechtsanwaelte.de||http://www.kunzrechtsanwaelte.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/brigitte_resch_koblenz
kanzlei|45891|Gelsenkirchen|Cranger Straße 300|Rechtsanwältin Bärbel Uhlmann-Burdessa (in Bürogemeinschaft)|0209 - 78 15 81|0209 - 77 86 80|info@kanzlei-ostermann.de|Familienrecht, Sozialrecht, Erbrecht, Betreuungsrecht|http://www.kanzlei-ostermann.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/baerbel_uhlmann-burdessa_gelsenkirchen
kanzlei|58239|Schwerte|Kuhstr. 4|Kanzlei Rechtsanwälte GMS|02304 - 20 06-0|02304 - 20 06-29|info@kanzlei-gms.de|Arbeitsrecht, Bankrecht, Erbrecht, Familienrecht, Forderungseinzug/Inkasso, Gesellschaftsrecht, Immobilienrecht, Kaufrecht, Mietrecht, OWI-Recht, Rentenrecht, Sozialversicherungsrecht, Verkehrsrecht, Verkehrsstrafrecht, Verkehrsunfallrecht, Versicherungsrecht, Vertragsrecht|http://www.kanzlei-gms.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwaelte_gms_schwerte
kanzlei|24937|Flensburg|Südermarkt 7|Rechtsanwalt Christian Jürgensen - Dolmetscher|0461 - 14 60 40|0461 - 1 76 65|info@rechtsanwaelte-beckmann.de|Zivilrecht, Handelsrecht, Gesellschaftsrecht, Internationales Recht, Zwangsvollstreckungsrecht, Forderungseinzug/Inkasso, Verkehrsrecht, Erbrecht, Strafrecht|http://www.rechtsanwaelte-beckmann.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/christian_juergensen_flensburg
kanzlei|47574|Goch|Herzogenstr. 5|Rechtsanwältin Astrid Basten|02823 - 92 93 80|02823 - 9 29 38 19|info@kanzlei-bellen.de|Erbrecht, Familienrecht, Sozialrecht|http://kanzlei-bellen.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/astrid_basten_goch
kanzlei|48143|Münster|Servatiiplatz 9 Iduna Hochhaus|Rechtsanwältin Notarin Dr. Andrea Bockey Fachanwältin für Verwaltungsrecht -  Fachanwältin für Sozialrecht|0251 - 41 48 00|0251 - 5 17 74|recht@putzo.de|Verwaltungsrecht, Baurecht (privates), Erbrecht, Sozialrecht, Sozialversicherungsrecht, Medizinrecht|http://www.putzo.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/dr__andrea_bockey_muenster
kanzlei|49809|Lingen|Lengericher Straße 2|Rechtsanwalt Andreas Tönjes Fachanwalt für Strafrecht|0591 - 97 78 20|0591 - 5 74 36|sekretariat@rae-kopp.de|Arzthaftungsrecht, Ausländerrecht, Sozialrecht, Sozialversicherungsrecht, Strafrecht, Verkehrsrecht, Verkehrsunfallrecht, Zivilrecht|http://www.rae-kopp.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/andreas_toenjes_lingen__ems_
kanzlei|06385|Aken|Burgstr. 26|Rechtsanwalt Dr. Siegfried Schnuppe|034909 - 7 08 41|034909 - 7 08 43|kanzlei-aken@t-online.de|Sozialrecht, Arbeitsrecht, Erbrecht, Familienrecht, Baurecht (privates), Arzthaftungsrecht, Zivilrecht|http://www.kanzlei-aken.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/dr__siegfried_schnuppe_aken__elbe_
kanzlei|42853|Remscheid|Elberfelder Straße 78|Kanzlei Frowein & Büssem|02191 - 2 99 96|02191 - 2 68 22|info@rae-remscheid.de|Arbeitsrecht, Erbrecht, Familienrecht, Gesellschaftsrecht, Handelsrecht, IT-Recht, Medizinrecht, OWI-Recht, Sozialrecht, Verkehrsrecht, Verkehrsstrafrecht, Verkehrsunfallrecht, Versicherungsrecht, Zivilrecht|http://www.frowein-büssem.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/frowein___buessem_remscheid
kanzlei|58511|Lüdenscheid|Freiherr-Vom-Stein-Straße 14 a|Kanzlei Rechtsanwälte Schreiter & Saße|02351 - 31 71|02351 - 2 79 55|kanzlei@schreiter-sasse.de|Arbeitsrecht, Arzthaftungsrecht, Baurecht (privates), Erbrecht, Familienrecht, Mietrecht, OWI-Recht, Strafrecht, Versicherungsrecht, Vertragsrecht|http://www.schreiter-sasse.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwaelte_schreiter___sasse_luedenscheid
kanzlei|53113|Bonn|Am Hofgarten 5|Rechtsanwalt Peter A. Aßmann Fachanwalt für Familienrecht -  Fachanwalt für Arbeitsrecht -  Fachanwalt für Medizinrecht|0228 - 9 49 16-0|0228 - 9 49 16-20|rae@assbo.de|Arbeitsrecht, Familienrecht, Medizinrecht|http://www.assbo.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/peter_a__assmann_bonn
kanzlei|53879|Euskirchen|Oststr. 13|Rechtsanwalt Ralf Engels Fachanwalt für Familienrecht -  Fachanwalt für Steuerrecht - Mediator|02251 - 94 29-0|02251 - 94 29 24|info@fachanwalt-euskirchen.de|Steuerrecht, Familienrecht, Mietrecht, Wohnungseigentumsrecht, Vertragsrecht, Gesellschaftsrecht, Mediation|http://www.fachanwalt-euskirchen.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/ralf_engels_euskirchen
kanzlei|59494|Soest|Opmünder Weg 50|Kanzlei Ortwin Sarx|02921 - 1 32 60|02921 - 1 72 59|roleff@kanzlei-sarx.de|Arbeitsrecht, Verkehrsrecht, Verkehrsunfallrecht, Zivilrecht, Familienrecht, Vertragsrecht, Erbrecht, Baurecht (privates)|http://www.kanzlei-sarx.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/ortwin_sarx_soest
kanzlei|46459|Rees|Weseler Straße 9|Kanzlei Terlinden & Uebe GbR Rechtsanwälte und Notar|02851 - 30 02|02851 - 23 93|info@terlindenunduebe.de|Arbeitsrecht, Erbrecht, Familienrecht, Mietrecht, Wohnungseigentumsrecht, Verkehrsrecht, Verkehrsunfallrecht, Strafrecht, Sozialrecht, OWI-Recht, Zivilrecht, Behindertenrecht, Forderungseinzug/Inkasso|http://www.terlindenunduebe.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/terlinden___uebe_gbr_rechtsanwaelte_und_notar_rees
kanzlei|40233|Düsseldorf|Erkrather Straße 162|Rechtsanwältin Juliane Weidemann|0211 - 6 16 96 70|0211 - 61 69 67 17|weidemann@weidemann-taxlaw.de|Vertragsrecht, Arbeitsrecht, Verkehrsrecht, OWI-Recht|http://www.weidemann-taxlaw.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/juliane_weidemann_duesseldorf
kanzlei|55116|Mainz|Fischtorplatz 20|Rechtsanwalt Stephan Czech|06131 - 22 10 77|06131 - 23 53 53|mainz@fmp-recht.de||http://fmp-recht.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/stephan_czech_mainz
kanzlei|59821|Arnsberg|Grafenstr. 77|Rechtsanwältin Christine Dolle|02931 - 5 24 70|02931 - 52 47 47|dolle@dolle-partner.de|Kaufrecht, Vertragsrecht, Zivilrecht|http://www.dolle-partner.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/christine_dolle_arnsberg
kanzlei|45711|Datteln|Horneburger Straße 13|Rechtsanwältin Eva-Maria Brechtken Fachanwältin für Familienrecht|02363 - 6 34 35|02363 - 6 34 37|info@brechtken-osemann.de|Erbrecht, Familienrecht|http://www.kanzlei-brechtken.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/eva-maria_brechtken_datteln
kanzlei|33775|Versmold|Münsterstr. 61|Rechtsanwältin Mihaela Dragu|05423 - 4 74 03 66|05423 - 4 74 03 67|info@dragu-dragu.de||http://www.dragu.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/mihaela_dragu_versmold
kanzlei|24937|Flensburg|Südermarkt 7|Rechtsanwalt Notar Piet Leckl-Niemann|0461 - 14 60 40|0461 - 1 76 65|info@rechtsanwaelte-beckmann.de|Zivilrecht, Arbeitsrecht, Speditionsrecht, Kaufrecht, Mietrecht, Verkehrsrecht, Gesellschaftsrecht, Erbrecht, Strafrecht, Zwangsvollstreckungsrecht|http://www.rechtsanwaelte-beckmann.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/piet_leckl-niemann_flensburg
kanzlei|41812|Erkelenz|Freiheitsplatz 6|Rechtsanwalt Hermann Leo Neikes Fachanwalt für Arbeitsrecht -  Fachanwalt für Sozialrecht|02431 - 40 77|02431 - 7 54 45|rae@stieve-neikes.de|Arbeitsrecht, Erbrecht, Sozialrecht|http://www.stieve-neikes.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/hermann_leo_neikes_erkelenz
kanzlei|48231|Warendorf|Waldenburger Straße 10|Kanzlei Lentfort & Partner|02581 - 9 39 20|02581 - 93 92 91|post@lentfort.de|Arbeitsrecht, Baurecht (privates), Betriebsverfassungsrecht, Erbrecht, Erschließungsrecht, Familienrecht, Forderungseinzug/Inkasso, Gesellschaftsrecht, Insolvenzrecht, Kommunalrecht, Mietrecht, OWI-Recht, Pachtrecht, Sozialversicherungsrecht, Sportrecht, Steuerrecht, Steuerstrafrecht, Strafrecht, Verkehrsrecht, Vertragsrecht, Verwaltungsrecht, Wirtschaftsrecht|http://www.lentfort.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/lentfort___partner_warendorf
kanzlei|47652|Weeze|Kevelaerer Straße 11|Kanzlei Janssen & Pössl|02837 - 22 22|02837 - 25 09|info@janssen-poessl.de|Arbeitsrecht, Architektenrecht, Baurecht (privates), Familienrecht, Forderungseinzug/Inkasso, Maklerrecht, Mietrecht, Verkehrsrecht|http://www.janssen-poessl.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/janssen___poessl_weeze_2
kanzlei|60320|Frankfurt|Klaus-Groth-Straße 34|Rechtsanwalt Dr. Hansjoachim Wussow Fachanwalt für Versicherungsrecht|069 - 56 31 09|069 - 5 60 39 75|info@dr-wussow.de|Versicherungsrecht, Arzthaftungsrecht, Baurecht (privates)|http://www.dr-wussow.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/dr__hansjoachim_wussow_frankfurt_am_main
kanzlei|46047|Oberhausen|Goethes 1|Rechtsanwalt Gregor Müller|0208 - 86 10 08|0208 - 86 20 63|gm@anwaelte-mueller.de|Arbeitsrecht, Familienrecht, Mietrecht, Pachtrecht, Polizei-/Ordnungsrecht, Verkehrsrecht|http://www.sozietaet-mueller.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/gregor_mueller_oberhausen
kanzlei|46399|Bocholt|Westend 27|Rechtsanwalt Hans Peter Fuchs|02871 - 27 89-0|02871 - 48 82 71|ihr-gutes-recht@t-online.de|Erbrecht, Gesellschaftsrecht, Handelsrecht|http://www.ihr-gutes-recht-bocholt.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/hans_peter_fuchs_bocholt
kanzlei|65187|Wiesbaden|Biebricher Allee 19|Rechtsanwalt Notar Christopher Kochem Fachanwalt für Arbeitsrecht|0611 - 98 98 40|0611 - 84 30 17|info@ober-janzen-partner.de|Arbeitsrecht, Erbrecht, Kaufrecht, Forderungseinzug/Inkasso, Gesellschaftsrecht|http://www.ober-janzen-partner.de|https://www.anwaltsverzeichnis.de/rechtsanwaelte/kanzlei/rechtsanwalt/christopher_kochem_wiesbaden
